499781,Biscuits For Two,"[""1 cup all purpose flour"", ""2 1/2 teaspoons baking powder"", ""1 teaspoon sugar"", ""1/2 teaspoon salt"", ""1/8 teaspoon cream of tartar"", ""1/4 cup shortening"", ""1/2 cup milk""]","[""Combine dry ingredients."", ""Cut in shortening until coarse crumbs."", ""Stir in milk."", ""Turn on to floured board and knead 1 minute."", ""Pat it or roll it into 1 inch thickness."", ""Cut with floured biscuit cutter."", ""Put on greased baking sheet."", ""Bake at 450 degrees, 10-12 minutes."", ""Makes 4 biscuits.""]",www.cookbooks.com/Recipe-Details.aspx?id=88408,Gathered,"[""flour"", ""baking powder"", ""sugar"", ""salt"", ""cream of tartar"", ""shortening"", ""milk""]"
499782,Oyster And Spinach Chowder,"[""1/2 c. chopped onion"", ""1/2 c. shredded carrot"", ""2 1/2 c. skim milk"", ""1/4 c. all-purpose flour"", ""2 Tbsp. nonfat dry milk powder"", ""1/4 tsp. salt"", ""1 (8 oz.) bottle clam juice"", ""1 (10 oz.) pkg. frozen spinach, thawed and drained""]","[""Spray a large saucepan with nonstick spray coating."", ""Cook onion and carrot in the saucepan over medium-high heat until onion is tender but not browned."", ""In a small bowl stir together 1 cup of skim milk, the flour, nonfat dry milk powder and salt; stir into vegetable mixture."", ""Stir in remaining milk and clam juice."", ""Stir over medium heat until thick and bubbly."", ""Stir in undrained oysters and spinach."", ""Heat through, stirring occasionally."", ""To serve, ladle into soup bowls.""]",www.cookbooks.com/Recipe-Details.aspx?id=801278,Gathered,"[""onion"", ""carrot"", ""milk"", ""all-purpose"", ""nonfat dry milk powder"", ""salt"", ""clam juice"", ""frozen spinach""]"
499783,Hot Cheese Dip,"[""1 stick Cracker Barrel Cheddar cheese (in the gold wrapper)"", ""1 medium onion, lightly chopped"", ""1 3/4 c. Hellmann's mayonnaise"", ""dash of Worcestershire sauce""]","[""Grate Cheddar cheese."", ""Mix with mayonnaise and Worcestershire sauce."", ""Add chopped onions."", ""Bake at 400\u00b0 until cheese dip is warm and bubbly, approximately 15 minutes."", ""You can also add crumbled bacon, if desired.""]",www.cookbooks.com/Recipe-Details.aspx?id=636187,Gathered,"[""Cheddar cheese"", ""onion"", ""mayonnaise"", ""Worcestershire sauce""]"
499784,Pineapple Turnover,"[""1 stick butter"", ""1 1/2 c. white sugar"", ""2 eggs, separated"", ""2 c. flour"", ""2 tsp. baking powder"", ""1 c. milk"", ""1 tsp. vanilla"", ""1 1/2 c. brown sugar"", ""5 slices pineapple"", ""5 cherries""]","[""To make batter, cream 1/2 stick of butter with white sugar. Mix in well the egg yolks."", ""Sift together flour and baking powder. Add alternately with milk."", ""Add vanilla."", ""Beat egg whites and fold into batter; set aside."", ""In a cast-iron skillet, place 1/2 stick of butter in small dabs."", ""Add brown sugar, pouring evenly over butter."", ""Place 1 slice of pineapple in center of pan and other slices around, centering each with a cherry."", ""Pour batter over this and bake in a slow oven (300\u00b0) for 1 hour, or until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=975564,Gathered,"[""butter"", ""white sugar"", ""eggs"", ""flour"", ""baking powder"", ""milk"", ""vanilla"", ""brown sugar"", ""pineapple"", ""cherries""]"
499785,Good Pie Crust(2-Crust)  ,"[""3 c. flour"", ""1/2 tsp. salt"", ""1 c. shortening"", ""1 egg, beaten"", ""1 Tbsp. vinegar"", ""5 Tbsp. water"", ""1 Tbsp. sugar""]","[""Mix flour, salt, sugar and shortening with a pastry blender or 2 knives until shortening is cut into very small pieces."", ""Mix egg, water and vinegar together well; add to flour mixture.""]",www.cookbooks.com/Recipe-Details.aspx?id=828936,Gathered,"[""flour"", ""salt"", ""shortening"", ""egg"", ""vinegar"", ""water"", ""sugar""]"
499786,Taco Salad,"[""1/2 bag corn chips"", ""1/2 lb. hamburger meat"", ""1/2 head lettuce"", ""1 tsp. chili powder"", ""1/3 block cheese, grated"", ""1/2 tomato""]","[""Wash and tear lettuce."", ""Brown meat and chili powder."", ""Drain meat."", ""Toss all ingredients together."", ""Dress salad.""]",www.cookbooks.com/Recipe-Details.aspx?id=634546,Gathered,"[""corn chips"", ""hamburger meat"", ""head lettuce"", ""chili powder"", ""block cheese"", ""tomato""]"
499787,Shrimp Croquettes,"[""3 Tbsp. butter"", ""1/4 c. all purpose flour"", ""1 c. milk"", ""1 Tbsp. minced onion"", ""1 tsp. Worcestershire sauce"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1/8 tsp. cayenne"", ""1 large egg, lightly beaten"", ""2 c. cooked, chopped shrimp"", ""1-3/4 c. cracker crumbs"", ""2 eggs beaten"", ""vegetable oil""]","[""Melt butter in large heavy pan over low heat, whisk in flour. Cook, whisking constantly, 1 minute."", ""Gradually whisk in milk, cook over medium heat whisking constantly until thickened and bubbly. Stir in onion and next 4 ingredients."", ""Remove from heat and stir in 1 egg and shrimp, cover and chill 1 hour."", ""Shape shrimp mixture into 16 balls, roll in crumbs, dip in 2 beaten eggs and roll again in crumbs."", ""Fry croquettes in 3 inches of oil, 3 to 4 minutes, or until golden."", ""Drain on paper towels.""]",www.cookbooks.com/Recipe-Details.aspx?id=37898,Gathered,"[""butter"", ""flour"", ""milk"", ""onion"", ""Worcestershire sauce"", ""salt"", ""pepper"", ""cayenne"", ""egg"", ""shrimp"", ""cracker crumbs"", ""eggs"", ""vegetable oil""]"
499788,Carrot Cake,"[""3 c. all-purpose flour"", ""2 c. sugar"", ""2 c. shredded fresh carrots"", ""1 1/2 c. cooking oil"", ""1 c. nuts"", ""1/4 tsp. salt"", ""2 tsp. baking powder"", ""2 tsp. cinnamon"", ""2 tsp. soda in 2 Tbsp. water"", ""4 eggs""]","[""Bake in tube cake pan 1 hour at 350\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=788813,Gathered,"[""all-purpose"", ""sugar"", ""carrots"", ""cooking oil"", ""nuts"", ""salt"", ""baking powder"", ""cinnamon"", ""soda"", ""eggs""]"
499789,Raisin Bran Muffins,"[""1 box Raisin Bran (1.48 oz.)"", ""5 c. flour"", ""3 c. sugar"", ""1 1/2 tsp. salt"", ""5 tsp. baking soda"", ""5 eggs"", ""1 qt. buttermilk"", ""1 c. oil""]","[""Mix the ingredients together in the order given."", ""Pour into muffin tins."", ""Bake at 350\u00b0 for 20 minutes."", ""The batter keeps in the refrigerator for up to 6 weeks.""]",www.cookbooks.com/Recipe-Details.aspx?id=770835,Gathered,"[""Raisin Bran"", ""flour"", ""sugar"", ""salt"", ""baking soda"", ""eggs"", ""buttermilk"", ""oil""]"
499790,Liver Pate,"[""1 lb. chicken livers"", ""4 c. onions, thinly sliced"", ""1/4 c. butter"", ""2 hard-boiled eggs"", ""pinch of salt"", ""pinch of pepper""]","[""Rinse liver in cold water and dry."", ""Melt butter in saucepan. Add onions and brown; add chicken livers and cook until well done. Cool."", ""Blend in a blender, adding chopped boiled eggs.""]",www.cookbooks.com/Recipe-Details.aspx?id=479949,Gathered,"[""chicken livers"", ""onions"", ""butter"", ""eggs"", ""salt"", ""pepper""]"
